"ID","Title","Severity","Confidence","Asset","Attack Path","Evidence Reference","Impact","CWE","OWASP ASVS 5.0.0","OWASP API Top 10 2023","NIST CSF 2.0","CIS Controls 8.1","CIS GCP Foundation 5.0.0","Qatar NIA 2.0 / Law 13 of 2016","Remediation","Acceptance Test","Owner","Effort","Target Window","Status"
"CYB-011","Entra governance lacks verified tenant-wide access policy and application owners","Medium","Medium","Microsoft Entra tenant; enterprise applications","Compromise an administrator or application credential; no verified tenant-wide MFA/device/location/risk condition and no accountable app owner delays containment and renewal.","E-009","Identity compromise and application lifecycle gaps; Security Defaults remains Not Verified.","CWE-308","V6.3.3; V7.4.1","API2; API8","PR.AA; GV.RR","5; 6; 15","IAM","NIA Access Control and Governance; Law Arts. 8 and 13","Assign at least two accountable owners per application; verify Security Defaults/Conditional Access; require phishing-resistant admin authentication; document break-glass exclusions; monitor credentials and consent.","Read-only evidence shows approved policies and protected populations; break-glass test passes; all applications have active owners.","IAM / Microsoft 365 Administration","Medium","Within 90 days","Open"
"CYB-012","Administrative host access lacks OS Login 2FA and retains stale Docker-group users","Medium","High","GCE OS Login; SSH; sudo; Docker group","Compromise an eligible cloud identity/key or abuse/reactivate a stale Docker-group user; gain root-equivalent VM/container control without host-level 2FA enforcement.","E-001; E-004; E-005","Full host, container, database, and secret-access compromise.","CWE-308; CWE-250","V6.3.3; V13.2.2","API2; API8","PR.AA","5; 6; 12","IAM; Compute","NIA Access Control; Law Arts. 8 and 13","Enforce OS Login 2FA/strong Conditional Access; validate owners then remove stale accounts and Docker memberships; alert on sudo/Docker administration.","No unowned local Docker users; interactive admin access requires strong MFA; quarterly access review exists.","Cloud Engineering / IAM","Medium","Within 90 days","Open"
"CYB-013","Tracked and installed edge configuration are not reconciled","Medium","High","Nginx; deployment configuration; disaster recovery","A future deploy or rollback uses stale tracked Nginx configuration and silently removes live callback-log, routing, or default-deny hardening.","E-002; E-003; E-012","Security regression and non-reproducible recovery.","CWE-16","V13.4.2; V13.4.7; V15.3.4","API8; API9","PR.PS; ID.AM","4; 7; 16","Networking; Compute","NIA Configuration and Operations; Law Art. 13","Reconcile installed configuration into source; retire obsolete variants after evidence retention; gate deployments on edge regression against the actual artifact.","Installed and tracked hashes match; all edge tests pass in CI and post-deploy verification.","Platform / Release Engineering","Small","Within 90 days","Open"
"CYB-014","Twenty PostgreSQL constraints remain NOT VALID","Medium","High","PostgreSQL schema; historical HR data","Historical inconsistent rows remain latent; authorization, payroll, leave, or identity logic assumes integrity that was never validated.","E-006","Workflow or authorization errors, incorrect calculations, or migration outage.","CWE-20","V13.2.2; V14.1.2","API3; API5; API8","PR.DS; ID.RA","3; 16","Database","NIA Data and Application Security; Law Arts. 10 and 13","Identify violations read-only; remediate under change control; validate constraints in bounded batches with rollback and monitoring.","Zero unintended NOT VALID constraints; integrity regression passes on restored production data before production validation.","DBA / Product Engineering","Large","Within 90 days","Open"
"CYB-015","Supported dependency vulnerabilities remain in production and development graphs","Medium","Medium","Backend dependencies; frontend development toolchain","A vulnerable parser, API documentation, PDF, build, or test dependency processes attacker-influenced input and triggers an advisory path.","E-013","Impact ranges from development compromise to server-side data or code impact; reachability remains to be proven per advisory.","CWE-1104","V13.2.2; V13.4.2","API8","ID.RA; PR.PS","2; 7; 16","Compute; Application supply chain","NIA Application Security and Operations; Law Art. 13","Upgrade within compatible ranges, remove unused packages, run targeted reachability/regression checks, and time-bound documented exceptions.","Production and development audits are clean or each exception has owner, reachability evidence, compensating control, and expiry.","Application Engineering","Medium","Within 90 days","Open"
"CYB-016","Backend CSV exports do not neutralize spreadsheet formulas","Medium","High","CSV exports; administrator workstations","Attacker-controlled text begins with a spreadsheet formula trigger; a privileged user opens the exported CSV; the spreadsheet interprets the cell as a formula or external interaction.","E-012","Operator workstation data exfiltration or unsafe link/command behavior depending on spreadsheet controls.","CWE-1236","V1.2.10","API3","PR.DS; PR.PS","3; 16","Application responsibility","NIA Application Security; Law Arts. 8 and 13","Apply one server-side formula-neutralization rule before CSV quoting; preserve raw values in non-spreadsheet APIs.","Fixtures beginning with equals, plus, minus, and at-sign open as inert text in Excel and LibreOffice and round-trip safely.","Backend Engineering","Small","Within 90 days","Open"
"CYB-017","Internal PostgreSQL transport is not encrypted","Low","High","PostgreSQL; Docker network","Compromise another container or the host network plane; observe or manipulate internal database traffic that uses SCRAM but no TLS.","E-006","HR data and credentials could be exposed after an initial local compromise; loopback/Docker scoping reduces likelihood.","CWE-319","V12.3.1","API8","PR.DS","3; 12","Compute; Database","NIA Communications and Cryptography; Law Art. 13","Enable authenticated PostgreSQL TLS with client verification or document an approved equivalent-isolation exception with stronger segmentation and monitoring.","Clients verify the database certificate and reject plaintext, or an approved risk exception proves equivalent isolation.","Platform Engineering / DBA","Medium","Owned backlog","Open"
"CYB-018","Security assurance scripts and lint are not consistently green","Low","High","CI and security regression suite","Security-sensitive behavior changes while stale or missing scripts create false confidence and the intended test never runs.","E-012","Higher probability of an authorization or configuration regression escaping review.","CWE-693","V1 control-verification support","API9","ID.RA; PR.PS","16; 18","Application supply chain","NIA Governance and Application Security; Law Art. 11","Repair or remove stale entry points; wire required suites to CI; make non-rewriting lint, build, and security commands deterministic.","One documented clean-checkout security command runs every intended suite and exits cleanly.","Engineering Productivity / Application Engineering","Small","Owned backlog","Open"
"CYB-019","Host discovery and agent listeners are broader than needed","Low","High","VM networking; LLMNR; Ops Agent","A future firewall or local-network change exposes all-interface management/discovery listeners; an attacker gains discovery, spoofing, or agent attack surface.","E-004","Additional host attack surface; currently mitigated by GCP firewall denial.","CWE-200","V13.4.2","API8","PR.PS","4; 12","Networking; Logging and Monitoring","NIA Communications and Operations; Law Art. 13","Disable unused LLMNR; bind agent endpoints to loopback where supported; keep listener/firewall regression checks.","Listener inventory contains only documented addresses/ports; external verification confirms denial.","Platform Engineering","Small","Owned backlog","Open"
"CYB-020","Default log retention and key management lack a documented policy decision","Low","High","Cloud Logging buckets; forensic evidence","An incident is discovered after the 30-day default retention period or policy requires customer-controlled key revocation; detailed evidence is unavailable or key controls do not match policy.","E-010","Reduced forensics and potential policy mismatch; Required logs retain 400 days and are locked.","CWE-778","V16.1.1","API8; API10","DE.CM; RS.AN","8; 13; 17","Logging and Monitoring","NIA Incident Management and Compliance; Law Arts. 11 and 14","Align retention per log class with detection/legal requirements; route high-value logs to controlled longer retention; adopt CMEK only if policy requires it.","Retention matrix, cost approval, access review, and historical search/recovery test are documented.","Security Operations / Compliance","Small","Owned backlog","Open"
